Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,21.09,,Jessica SCHILDER,19 MAR 1999,NED,1,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1276,women_SP,2026
2,20.74,,Chase JACKSON,20 JUL 1994,USA,1,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1254,women_SP,2026
3,20.66,,Sarah MITTON,20 JUN 1996,CAN,1,,"Swangard Stadium, Burnaby (CAN)",14 JUL 2026,1249,women_SP,2026
4,20.37,,Yemisi OGUNLEYE,03 OCT 1998,GER,1,,"Helmut-Körnig-Halle, Dortmund (GER) (i)",27 FEB 2026,1231,women_SP,2026
5,19.97,,Axelina JOHANSSON,20 APR 2000,SWE,1,,"Ed Weir Outdoor Track, Lincoln, NE (USA)",16 MAY 2026,1206,women_SP,2026
6,19.70,,Fanny ROOS,02 JAN 1995,SWE,3,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1189,women_SP,2026
7,19.64,,Jorinde VAN KLINKEN,02 FEB 2000,NED,2f1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1185,women_SP,2026
8,19.62,,Jessica INCHUDE,25 MAR 1996,POR,1,,"Estadio Universitario, Lisboa (POR)",26 JUL 2026,1184,women_SP,2026
9,19.36,,Linru ZHANG,23 SEP 1999,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1167,women_SP,2026
10,19.34,,Danniel THOMAS-DODD,11 NOV 1992,JAM,1f2,,"Spec Towns Track, Athens, GA (USA)",11 APR 2026,1166,women_SP,2026
10,19.34,,Adelaide AQUILLA,03 MAR 1999,USA,3,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",14 JUN 2026,1166,women_SP,2026
12,19.31,,Abria SMITH,25 JAN 2002,USA,2,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1164,women_SP,2026
13,19.23,,Akaoma ODELUGA,14 MAY 2005,USA,1f3,,"UVA Lanningan Field, Charlottesville, VA (USA)",17 APR 2026,1159,women_SP,2026
14,19.17,,Auriol DONGMO,03 AUG 1990,POR,1f1,,"Altice Forum, Braga (POR) (i)",28 FEB 2026,1156,women_SP,2026
15,19.14,,Jaida ROSS,29 OCT 2001,USA,4,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",14 JUN 2026,1154,women_SP,2026
